,event,playerid,web_name,element_type,team,now_cost,expected_goals.gw,expected_assists.gw,expected_goal_involvements.gw,expected_goals_conceded.gw,XGI_Weighted,XGC_Weighted,AttackOpp_pergame,DefenceOpp_pergame
130,30.0,9.0,Martinelli,3.0,1.0,68.0,0.17411764705882352,0.14647058823529413,0.3205882352941177,0.6152941176470589,0.2351459292316733,2.22091873632,0.7120004184084706,0.14468390704490017
131,21.0,9.0,Martinelli,3.0,1.0,68.0,0.17411764705882352,0.14647058823529413,0.3205882352941177,0.6152941176470589,0.5876728380571572,3.66510047856,1.1749880945971765,0.36159164035752145
132,26.0,9.0,Martinelli,3.0,1.0,68.0,0.17411764705882352,0.14647058823529413,0.3205882352941177,0.6152941176470589,0.5973581766177805,2.2907110902,0.7343750259758823,0.3675509722012932
133,22.0,9.0,Martinelli,3.0,1.0,68.0,0.17411764705882352,0.14647058823529413,0.3205882352941177,0.6152941176470589,0.5400973366349124,1.5660417903,0.5020545739491177,0.332318714188305
134,33.0,9.0,Martinelli,3.0,1.0,68.0,0.17411764705882352,0.14647058823529413,0.3205882352941177,0.6152941176470589,0.29215686274509806,3.621,1.1608500000000002,0.179762399077278
135,18.0,9.0,Martinelli,3.0,1.0,68.0,0.17411764705882352,0.14647058823529413,0.3205882352941177,0.6152941176470589,0.29215686274509806,3.621,1.1608500000000002,0.179762399077278
136,28.0,9.0,Martinelli,3.0,1.0,68.0,0.17411764705882352,0.14647058823529413,0.3205882352941177,0.6152941176470589,0.4674879949679536,1.84490299063,0.5914541940549118,0.2876426133743997
137,19.0,9.0,Martinelli,3.0,1.0,68.0,0.17411764705882352,0.14647058823529413,0.3205882352941177,0.6152941176470589,0.3478888552463483,2.82634329472,0.9060924091896472,0.2140539662280473
138,32.0,9.0,Martinelli,3.0,1.0,68.0,0.17411764705882352,0.14647058823529413,0.3205882352941177,0.6152941176470589,0.3478888552463483,2.82634329472,0.9060924091896472,0.2140539662280473
139,35.0,9.0,Martinelli,3.0,1.0,68.0,0.17411764705882352,0.14647058823529413,0.3205882352941177,0.6152941176470589,0.5897893416787048,2.693158923575,0.8633950666755148,0.36289391258583836
140,24.0,9.0,Martinelli,3.0,1.0,68.0,0.17411764705882352,0.14647058823529413,0.3205882352941177,0.6152941176470589,0.6379983648101909,1.8118273038000001,0.5808505179829413,0.3925566409361528
141,38.0,9.0,Martinelli,3.0,1.0,68.0,0.17411764705882352,0.14647058823529413,0.3205882352941177,0.6152941176470589,0.24705882352941178,4.76,1.526,0.15201384083044986
142,36.0,9.0,Martinelli,3.0,1.0,68.0,0.17411764705882352,0.14647058823529413,0.3205882352941177,0.6152941176470589,0.8266669419453656,1.9589323501599998,0.6280106651983529,0.5086433066322662
143,23.0,9.0,Martinelli,3.0,1.0,68.0,0.17411764705882352,0.14647058823529413,0.3205882352941177,0.6152941176470589,0.32367788494185806,1.64266044076,0.526617611890706,0.1991570986171668
144,29.0,9.0,Martinelli,3.0,1.0,68.0,0.17411764705882352,0.14647058823529413,0.3205882352941177,0.6152941176470589,0.9223346090599682,2.4234503627,0.7769296751008825,0.5675070594568982
